Neighborhood,Job Openings,Agriculture Forestry Fishing and Hunting jobs,Mining Quarrying and Oil and Gas Extraction jobs,Utilities jobs,Construction jobs,Manufacturing jobs,Wholesale Trade jobs,Retail Trade jobs,Transportation and Warehousing jobs,Information jobs,Finance and Insurance jobs,Real Estate and Rental and Leasing jobs,Professional Scientific and Technical Services jobs,Management of Companies and Enterprises jobs,Administration & Support Waste Management and Remediation jobs,Educational Services jobs,Health Care and Social Assistance jobs,Arts Entertainment and Recreation jobs,Accommodation and Food Services jobs,Public Administration jobs,Other Services (excluding Public Administration) jobs,Median Salary,Location ZIP Code
"Allied Gardens, Del Cerro",44,0,0,1,1,1,4,4,2,0,1,1,6,4,1,2,9,0,1,1,0,37566.0,92120
Alpine,17,0,1,0,1,0,0,5,0,0,0,0,2,5,1,0,0,0,1,0,0,50394.0,91901
Bonita,8,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,35479.0,91902
Campo,6,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,35246.0,91906
Cardiff,9,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,33392.0,92007
Carlsbad,415,3,7,4,19,40,25,46,15,19,32,5,32,44,3,4,14,4,12,11,7,39443.8,92008
Carmel Valey,95,0,0,0,6,3,6,22,0,5,9,0,3,12,1,1,1,0,7,2,2,40500.0,92130
Chula Vista,283,4,1,3,12,8,24,50,6,8,12,2,15,13,4,4,41,1,19,7,13,47579.21428571428,91910
City Heights,31,0,1,0,3,0,0,3,1,0,1,0,2,4,0,2,4,0,0,2,1,39653.0,92105
Clairemont,44,0,2,0,3,1,4,9,4,0,3,2,0,4,0,0,1,1,8,1,1,35000.0,92117
College,69,0,1,1,1,1,0,6,4,0,3,1,5,2,1,5,8,0,8,11,1,38362.0,92115
Coronado,107,1,1,0,2,3,3,9,2,1,7,0,9,14,0,1,5,1,18,3,2,47268.875,92118
Del Mar,38,0,0,0,1,0,1,1,2,2,0,1,1,5,0,6,2,1,5,2,1,41740.0,92014
Downtown,689,11,8,7,31,21,49,86,12,44,45,17,41,69,6,7,16,5,62,24,24,58200.0,92101
El Cajon,237,1,0,13,27,20,15,30,4,7,8,3,12,31,0,5,7,0,3,8,7,40836.125,92020
Encanto,20,0,0,0,5,1,0,0,0,1,2,0,2,2,0,0,0,0,0,1,1,33392.0,92114
Encinitas,89,3,1,2,5,0,5,24,2,1,2,0,6,14,1,0,4,0,4,1,6,35479.0,92024
Escondido,221,1,1,3,14,10,9,27,5,3,12,2,17,19,1,2,32,3,14,11,7,36560.1,92025
Fallbrook,27,1,0,1,2,2,0,4,3,0,2,0,1,2,0,0,1,0,2,0,2,37739.5,92028
Golden Hill,73,0,0,0,1,3,6,8,6,3,7,1,5,8,1,3,3,0,2,4,3,41020.0,92102
"Hillcrest, Mission Hills",124,0,1,2,4,0,1,18,3,7,9,0,4,14,2,9,14,1,10,3,0,37566.0,92103
Imperial Beach,15,0,0,1,0,0,0,2,1,3,1,0,1,0,2,0,0,0,0,0,0,37566.0,91932
Jamul,9,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31600.0,91935
Julian,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,19575.0,92036
"Kensington, Normal Heights",12,0,0,0,0,0,1,1,1,0,0,0,1,3,0,0,1,0,2,0,0,34435.5,92116
La Jolla,216,0,2,0,10,8,9,23,3,8,12,0,23,21,2,23,20,0,16,1,4,55609.5,92037
La Mesa,135,1,0,2,4,2,7,16,1,2,5,0,8,19,0,11,29,0,7,5,4,35997.333333333336,91942
Lakeside,27,0,0,1,2,3,3,1,0,1,0,0,5,3,0,0,0,0,1,0,1,36633.0,92040
